"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20100101025829I","01-JAN-10","HAILEY","ID","FRIEDMAN MEMORIAL","INCIDENT","MINOR","TAXI","CESSNA","560","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","303CP","0","0","P&W CA","JT15D 5 SER","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","9208","376","50",""
"20100101030559I","01-JAN-10","ROLLING FORK","MS","NICK'S FLYING SERVICE INC","INCIDENT","MINOR","TAXI","BEECH","58","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","3840X","0","0","CONT M","IO 520 SERIES","","2","COMMERCIAL PILOT","0","0","0",""
"20100102025619I","02-JAN-10","FENTRESS","TX","FENTRESS AIRPARK","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","208","UNDESIGNATED SERIES","","","PARACHUTE JUMPING","","208KM","0","1","P&W CA","PT6A-114","","1","","0","0","0",""
"20100102026249I","02-JAN-10","TORRANCE","CA","ZAMPERINI FIELD","INCIDENT","SUBSTANTIAL","LANDING: TOUCHDOWN","PIPER","PA34","200T","","","GENERAL OPERATING RULES","","44730","0","0","","","","","","0","0","0",""
"20100102026319I","02-JAN-10","RAMONA","CA","RAMONA","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","951EU","0","0","","","","","PRIVATE PILOT","430","1","6",""
"20100103006039I","03-JAN-10","","","","INCIDENT","NONE","LANDING: APPROACH","PIAGGIO","P180","AVANTI","AVANTAIR INC","","GENERAL OPERATING RULES","","172SL","0","0","P&W CA","PT6A-66B","","2","","0","0","0",""
"20100103025589I","03-JAN-10","","GA","CAMERON FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","STODDARD HAMILTON","GLASAIR II","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","360RG","0","0","LYCOMI","O&VO-360 SER","","","PRIVATE PILOT","1294","153","55",""
"20100103025599I","03-JAN-10","ATLANTA","GA","HARTSFIELD - JACKSON ATLANTA INTL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","BOMBARDIER","CL600 2C10","700","ATLANTIC SOUTHEAST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","752EV","0","0","","","","","","0","0","0",""
"20100103025669I","03-JAN-10","HILLSBORO","OR","PORTLAND-HILLSBORO","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","LEARJET","36","UNDESIGNATED SERIES","PREMIER JETS INC","","AIR TAXI/COMMUTER","","361PJ","0","0","GARRET","TFE 731 SER","","","AIRLINE TRANSPORT","16200","1205","75",""
"20100103025679I","03-JAN-10","SCAPPOOSE","OR","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","AERONCA","7AC","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","857AC","0","0","LYCOMI","0-235 SERIES","","1","COMMERCIAL PILOT","1500","250","15",""
"20100104025659I","04-JAN-10","CHICAGO","IL","CHICAGO O'HARE INTL","INCIDENT","MINOR","GROUND-RAMP","BOEING","747","UNDESIGNATED SERIES","KLM ROYAL DUTCH AIRLINES","","FOREIGN AIR CARRIER","","NONE","0","0","","","","","AIRLINE TRANSPORT","","","",""
"20100104025749I","04-JAN-10","SAN JUAN","PR","","INCIDENT","NONE","GROUND-RAMP","DE HAVILLAND","DHC6","300","SEABORNE VIRGIN ISLAND INC","","AIR CARRIER/COMMERCIAL","","189GC","0","0","PT-6","A","-27","","AIRLINE TRANSPORT","15000","1600","268",""
"20100104026139I","04-JAN-10","ATLANTA","GA","HARTSFIELD - JACKSON ATLANTA INTL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","BOMBARDIER","CL600 2B19","UNDESIGNATED SERIES","ATLANTIC SOUTHEAST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","854AS","0","0","GE","CF34 SERIES","","","","0","0","0",""
"20100104042759I","04-JAN-10","MERIDIANVILLE","AL","MADISON COUNTY EXECUTIVE/TOM SHARP JR FLD","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","76","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","5149M","0","0","LYCOMI","I0-360","","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1162","46","90",""
"20100105025639I","05-JAN-10","HAYS","KS","HAYS RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","340","A","CROTTS AIRCRAFT SERVICE INC","","GENERAL OPERATING RULES","","500CT","0","0","CONT M","TSIO-520 SER","","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","2728","1061","44",""
"20100105025839I","05-JAN-10","PHOENIX","AZ","PHOENIX SKY HARBOR INTL","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","T42","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","7621N","0","0","TELEDY","I0-470-L-23","","","AIRLINE TRANSPORT","13500","2200","15",""
